"X","state","date","hosp_rate","Level","hosp_rate_3m","scale_age"
1,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.278013766031774,1.40324243381022
119,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.00940438419267972,1.17447148610512
237,"All states","2023-07-01",0,"5-17 Years",0,0
355,"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.00939657329746968,0.347381092769453
473,"All states","2023-07-01",0.0605156989967019,"65+ Years",0.0605156989967019,0.689470476428229
591,"All states","2023-07-01",2.51337972935653,"<1 Years",2.51337972935653,2.86781073665539
709,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.467264646428186,2.35846443521944
827,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.0230099540215118,2.87361025891426
945,"All states","2023-07-01",0,"5-17 Years",0.00611315538977085,0.483537881864874
1063,"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.0310145813409875,1.14657533304407
1181,"All states","2023-07-01",0.0605156989967019,"65+ Years",0.04421430435565,0.503744614941886
1299,"All states","2023-07-01",2.51337972935653,"<1 Years",2.18442725255625,2.49247014096325
1417,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.467264646428186,2.35846443521944
1535,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.0230099540215118,2.87361025891426
1653,"All states","2023-07-01",0,"5-17 Years",0.00611315538977085,0.483537881864874
1771,"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.0310145813409875,1.14657533304407
1889,"All states","2023-07-01",0.0605156989967019,"65+ Years",0.04421430435565,0.503744614941886
2007,"All states","2023-07-01",2.51337972935653,"<1 Years",2.18442725255625,2.49247014096325
2125,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.467264646428186,2.35846443521944
2243,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.0230099540215118,2.87361025891426
2361,"All states","2023-07-01",0,"5-17 Years",0.00611315538977085,0.483537881864874
2479,"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.0310145813409875,1.14657533304407
2597,"All states","2023-07-01",0.0605156989967019,"65+ Years",0.04421430435565,0.503744614941886
2715,"All states","2023-07-01",2.51337972935653,"<1 Years",2.18442725255625,2.49247014096325
2833,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.467264646428186,2.35846443521944
2951,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.0230099540215118,2.87361025891426
3069,"All states","2023-07-01",0,"5-17 Years",0.00611315538977085,0.483537881864874
3187,"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.0310145813409875,1.14657533304407
3305,"All states","2023-07-01",0.0605156989967019,"65+ Years",0.04421430435565,0.503744614941886
3423,"All states","2023-07-01",2.51337972935653,"<1 Years",2.18442725255625,2.49247014096325
3541,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.467264646428186,2.35846443521944
3659,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.0230099540215118,2.87361025891426
3777,"All states","2023-07-01",0,"5-17 Years",0.00611315538977085,0.483537881864874
3895,"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.0310145813409875,1.14657533304407
4013,"All states","2023-07-01",0.0605156989967019,"65+ Years",0.04421430435565,0.503744614941886
4131,"All states","2023-07-01",2.51337972935653,"<1 Years",2.18442725255625,2.49247014096325
4249,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.467264646428186,2.35846443521944
4367,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.0230099540215118,2.87361025891426
4485,"All states","2023-07-01",0,"5-17 Years",0.00611315538977085,0.483537881864874
4603,"All states","2023-07-01",0.00939657329746968,"50-64 Years",0.0310145813409875,1.14657533304407
4721,"All states","2023-07-01",0.0605156989967019,"65+ Years",0.04421430435565,0.503744614941886
4839,"All states","2023-07-01",2.51337972935653,"<1 Years",2.18442725255625,2.49247014096325
4957,"All states","2023-07-01",0.278013766031774,"1-4 Years",0.467264646428186,2.35846443521944
5075,"All states","2023-07-01",0.00940438419267972,"18-49 Years",0.0230099540215118,2.87361025891426
