"","year","geography","grade","N","vax","value","percent_surveyed","survey_type"
"1","2020-21","Oregon","Kindergarten",39568,"medical_exempt","0.1",100,"Census"
"2","2018-19","Oregon","Kindergarten",45870,"medical_exempt","0.1",NA,"Census"
"3","2019-20","Oregon","Kindergarten",45959,"medical_exempt","0.2",NA,"Census"
"4","2017-18","Oregon","Kindergarten",45818,"medical_exempt","0.1",NA,"Census"
"5","2016-17","Oregon","Kindergarten",45705,"medical_exempt","0.1",NA,"Census"
"6","2015-16","Oregon","Kindergarten",45531,"medical_exempt","0.1",NA,"Census"
"7","2014-15","Oregon","Kindergarten",46229,"medical_exempt","0.2",NA,"Census"
"8","2013-14","Oregon","Kindergarten",47649,"medical_exempt","0.1",NA,"Census"
"9","2012-13","Oregon","Kindergarten",47102,"medical_exempt","0.2",NA,"Census"
"10","2011-12","Oregon","Kindergarten",45855,"medical_exempt","0.2",NA,"Census"
"11","2010-11","Oregon","Kindergarten",NA,"medical_exempt",NA,NA,NA
"12","2009-10","Oregon","Kindergarten",44676,"medical_exempt","0.2",NA,"Census"
"13","2020-21","Oregon","Kindergarten",39568,"full_exempt","5.4",100,"Census"
"14","2019-20","Oregon","Kindergarten",45959,"full_exempt","7.1",NA,"Census"
"15","2021-22","Oregon","Kindergarten",41538,"full_exempt","7.0",100,"Census"
"16","2018-19","Oregon","Kindergarten",45870,"full_exempt","7.7",NA,"Census"
"17","2010-11","Oregon","Kindergarten",NA,"full_exempt",NA,NA,NA
"18","2011-12","Oregon","Kindergarten",45855,"full_exempt","5.9",NA,"Census"
"19","2017-18","Oregon","Kindergarten",45818,"full_exempt","7.6",NA,"Census"
"20","2016-17","Oregon","Kindergarten",45705,"full_exempt","6.7",NA,"Census"
"21","2015-16","Oregon","Kindergarten",45531,"full_exempt","6.3",NA,"Census"
"22","2014-15","Oregon","Kindergarten",46229,"full_exempt","6.0",NA,"Census"
"23","2013-14","Oregon","Kindergarten",47649,"full_exempt","7.1",NA,"Census"
"24","2012-13","Oregon","Kindergarten",47102,"full_exempt","6.5",NA,"Census"
"25","2021-22","Oregon","Kindergarten",41538,"medical_exempt","0.1",100,"Census"
"26","2009-10","Oregon","Kindergarten",44676,"full_exempt","5.4",NA,"Census"
"27","2021-22","Oregon","Kindergarten",41538,"personal_exempt","6.9",100,"Census"
"28","2012-13","Oregon","Kindergarten",47102,"personal_exempt","6.4",NA,"Census"
"29","2011-12","Oregon","Kindergarten",45855,"personal_exempt","5.8",NA,"Census"
"30","2010-11","Oregon","Kindergarten",NA,"personal_exempt",NA,NA,NA
"31","2009-10","Oregon","Kindergarten",44676,"personal_exempt","5.2",NA,"Census"
"32","2014-15","Oregon","Kindergarten",46229,"personal_exempt","5.8",NA,"Census"
"33","2013-14","Oregon","Kindergarten",47649,"personal_exempt","7.0",NA,"Census"
"34","2015-16","Oregon","Kindergarten",45531,"personal_exempt","6.2",NA,"Census"
"35","2016-17","Oregon","Kindergarten",45705,"personal_exempt","6.5",NA,"Census"
"36","2018-19","Oregon","Kindergarten",45870,"personal_exempt","7.5",NA,"Census"
"37","2017-18","Oregon","Kindergarten",45818,"personal_exempt","7.5",NA,"Census"
"38","2020-21","Oregon","Kindergarten",39568,"personal_exempt","5.3",100,"Census"
"39","2019-20","Oregon","Kindergarten",45959,"personal_exempt","6.9",NA,"Census"
"40","2023-24","Oregon","Kindergarten",39568,"full_exempt","8.9",100,"Census"
"41","2023-24","Oregon","Kindergarten",39568,"personal_exempt","8.8",100,"Census"
"42","2023-24","Oregon","Kindergarten",39568,"medical_exempt","0.1",100,"Census"
"43","2024-25","Oregon","Kindergarten",38247,"full_exempt","9.8",100,"Census"
"44","2024-25","Oregon","Kindergarten",38247,"personal_exempt","9.7",100,"Census"
"45","2024-25","Oregon","Kindergarten",38247,"medical_exempt","0.1",100,"Census"
"46","2021-22","District of Columbia","Kindergarten",8959,"personal_exempt","0.5",100,"Census"
"47","2009-10","District of Columbia","Kindergarten",6092,"full_exempt","1.1",NA,"Census"
"48","2010-11","District of Columbia","Kindergarten",NA,"full_exempt",NA,NA,NA
"49","2014-15","District of Columbia","Kindergarten",7840,"medical_exempt","0.6",NA,"Census"
"50","2015-16","District of Columbia","Kindergarten",8080,"medical_exempt","0.5",NA,"Census"
"51","2016-17","District of Columbia","Kindergarten",8522,"medical_exempt","0.6",NA,"Census"
"52","2017-18","District of Columbia","Kindergarten",NA,"medical_exempt",NA,NA,"Census"
"53","2019-20","District of Columbia","Kindergarten",NA,"medical_exempt",NA,NA,"Not Conducted"
"54","2018-19","District of Columbia","Kindergarten",NA,"medical_exempt",NA,NA,"Census"
"55","2021-22","District of Columbia","Kindergarten",8959,"medical_exempt","0.0",100,"Census"
"56","2023-24","District of Columbia","Kindergarten",7874,"medical_exempt","0.2",100,"Census"
"57","2023-24","District of Columbia","Kindergarten",7874,"personal_exempt","2.1",100,"Census"
"58","2023-24","District of Columbia","Kindergarten",7874,"full_exempt","2.3",100,"Census"
"59","2010-11","District of Columbia","Kindergarten",NA,"medical_exempt",NA,NA,NA
"60","2011-12","District of Columbia","Kindergarten",6854,"medical_exempt","1.3",NA,"Census"
"61","2012-13","District of Columbia","Kindergarten",7842,"medical_exempt","1.3",NA,"Census"
"62","2013-14","District of Columbia","Kindergarten",7856,"medical_exempt","1.1",NA,"Census"
"63","2009-10","District of Columbia","Kindergarten",6092,"medical_exempt","0.8",NA,"Census"
"64","2024-25","District of Columbia","Kindergarten",7997,"medical_exempt","0.3",100,"Census"
"65","2024-25","District of Columbia","Kindergarten",7997,"personal_exempt","2.5",100,"Census"
"66","2024-25","District of Columbia","Kindergarten",7997,"full_exempt","2.7",100,"Census"
"67","2019-20","District of Columbia","Kindergarten",NA,"full_exempt",NA,NA,"Not Conducted"
"68","2020-21","District of Columbia","Kindergarten",8262,"full_exempt","0.3",100,"Census"
"69","2018-19","District of Columbia","Kindergarten",NA,"full_exempt",NA,NA,"Census"
"70","2021-22","District of Columbia","Kindergarten",8959,"full_exempt","0.5",100,"Census"
"71","2012-13","District of Columbia","Kindergarten",7842,"full_exempt","1.6",NA,"Census"
"72","2013-14","District of Columbia","Kindergarten",7856,"full_exempt","1.5",NA,"Census"
"73","2014-15","District of Columbia","Kindergarten",7840,"full_exempt","1.1",NA,"Census"
"74","2015-16","District of Columbia","Kindergarten",8080,"full_exempt","1.0",NA,"Census"
"75","2016-17","District of Columbia","Kindergarten",8522,"full_exempt","1.1",NA,"Census"
"76","2017-18","District of Columbia","Kindergarten",NA,"full_exempt",NA,NA,"Census"
"77","2011-12","District of Columbia","Kindergarten",6854,"full_exempt","2.1",NA,"Census"
"78","2009-10","District of Columbia","Kindergarten",6092,"personal_exempt","0.3",NA,"Census"
"79","2010-11","District of Columbia","Kindergarten",NA,"personal_exempt",NA,NA,NA
"80","2011-12","District of Columbia","Kindergarten",6854,"personal_exempt","0.8",NA,"Census"
"81","2012-13","District of Columbia","Kindergarten",7842,"personal_exempt","0.3",NA,"Census"
"82","2013-14","District of Columbia","Kindergarten",7856,"personal_exempt","0.4",NA,"Census"
"83","2014-15","District of Columbia","Kindergarten",7840,"personal_exempt","0.5",NA,"Census"
"84","2015-16","District of Columbia","Kindergarten",8080,"personal_exempt","0.4",NA,"Census"
"85","2016-17","District of Columbia","Kindergarten",8522,"personal_exempt","0.5",NA,"Census"
"86","2017-18","District of Columbia","Kindergarten",NA,"personal_exempt",NA,NA,"Census"
"87","2018-19","District of Columbia","Kindergarten",NA,"personal_exempt",NA,NA,"Census"
"88","2020-21","District of Columbia","Kindergarten",8262,"personal_exempt","0.3",100,"Census"
"89","2019-20","District of Columbia","Kindergarten",NA,"personal_exempt",NA,NA,"Not Conducted"
"90","2022-23","District of Columbia","Kindergarten",8064,"personal_exempt","0.9",100,"Census"
"91","2022-23","District of Columbia","Kindergarten",8064,"medical_exempt","0.3",100,"Census"
"92","2022-23","District of Columbia","Kindergarten",8064,"full_exempt","1.3",100,"Census"
"93","2009-10","Kentucky","Kindergarten",56526,"medical_exempt","0.3",NA,"Census"
"94","2017-18","Kentucky","Kindergarten",55152,"medical_exempt","0.3",NA,"Census"
"95","2016-17","Kentucky","Kindergarten",51487,"medical_exempt","0.4",NA,"Census"
"96","2015-16","Kentucky","Kindergarten",54353,"medical_exempt","0.2",NA,"Census"
"97","2014-15","Kentucky","Kindergarten",57884,"medical_exempt","0.2",NA,"Census"
"98","2021-22","Kentucky","Kindergarten",59233,"full_exempt","1.3",91.5,"Census"
"99","2020-21","Kentucky","Kindergarten",59233,"full_exempt","1.0",86.4,"Census (public). voluntary response (private)"
"100","2019-20","Kentucky","Kindergarten",59233,"full_exempt","1.8",NA,"Census"
"101","2021-22","Kentucky","Kindergarten",59233,"personal_exempt","1.1",91.5,"Census"
"102","2009-10","Kentucky","Kindergarten",56526,"full_exempt","0.6",NA,"Census"
"103","2010-11","Kentucky","Kindergarten",NA,"full_exempt",NA,NA,NA
"104","2019-20","Kentucky","Kindergarten",59233,"personal_exempt","1.4",NA,"Census"
"105","2020-21","Kentucky","Kindergarten",59233,"personal_exempt","0.8",86.4,"Census (public). voluntary response (private)"
"106","2018-19","Kentucky","Kindergarten",55587,"personal_exempt","1.2",NA,"Census"
"107","2017-18","Kentucky","Kindergarten",55152,"personal_exempt","1.1",NA,"Census"
"108","2016-17","Kentucky","Kindergarten",51487,"personal_exempt","0.7",NA,"Census"
"109","2011-12","Kentucky","Kindergarten",58185,"full_exempt","0.6",NA,"Census"
"110","2017-18","Kentucky","Kindergarten",55152,"full_exempt","1.4",NA,"Census"
"111","2016-17","Kentucky","Kindergarten",51487,"full_exempt","1.1",NA,"Census"
"112","2015-16","Kentucky","Kindergarten",54353,"full_exempt","0.9",NA,"Census"
"113","2014-15","Kentucky","Kindergarten",57884,"full_exempt","0.9",NA,"Census"
"114","2013-14","Kentucky","Kindergarten",57857,"full_exempt","0.9",NA,"Census"
"115","2012-13","Kentucky","Kindergarten",58466,"full_exempt","0.7",NA,"Census"
"116","2013-14","Kentucky","Kindergarten",57857,"medical_exempt","0.3",NA,"Census"
"117","2012-13","Kentucky","Kindergarten",58466,"medical_exempt","0.2",NA,"Census"
"118","2011-12","Kentucky","Kindergarten",58185,"medical_exempt","0.2",NA,"Census"
"119","2010-11","Kentucky","Kindergarten",NA,"medical_exempt",NA,NA,NA
"120","2021-22","Kentucky","Kindergarten",59233,"medical_exempt","0.2",91.5,"Census"
"121","2020-21","Kentucky","Kindergarten",59233,"medical_exempt","0.2",86.4,"Census (public). voluntary response (private)"
"122","2018-19","Kentucky","Kindergarten",55587,"medical_exempt","0.3",NA,"Census"
"123","2019-20","Kentucky","Kindergarten",59233,"medical_exempt","0.5",NA,"Census"
"124","2024-25","Kentucky","Kindergarten",51319,"full_exempt","2.2",100,"Census"
"125","2024-25","Kentucky","Kindergarten",51319,"personal_exempt","2.0",100,"Census"
"126","2024-25","Kentucky","Kindergarten",51319,"medical_exempt","0.1",100,"Census"
"127","2023-24","Kentucky","Kindergarten",52609,"full_exempt","2.3",100,"Census"
"128","2023-24","Kentucky","Kindergarten",52609,"personal_exempt","2.0",100,"Census"
"129","2023-24","Kentucky","Kindergarten",52609,"medical_exempt","0.2",100,"Census"
"130","2012-13","Kentucky","Kindergarten",58466,"personal_exempt","0.5",NA,"Census"
"131","2011-12","Kentucky","Kindergarten",58185,"personal_exempt","0.4",NA,"Census"
"132","2010-11","Kentucky","Kindergarten",NA,"personal_exempt",NA,NA,NA
"133","2009-10","Kentucky","Kindergarten",56526,"personal_exempt","0.3",NA,"Census"
"134","2014-15","Kentucky","Kindergarten",57884,"personal_exempt","0.7",NA,"Census"
"135","2013-14","Kentucky","Kindergarten",57857,"personal_exempt","0.6",NA,"Census"
"136","2015-16","Kentucky","Kindergarten",54353,"personal_exempt","0.7",NA,"Census"
"137","2018-19","Kentucky","Kindergarten",55587,"full_exempt","1.4",NA,"Census"
