"","year","geography","grade","N","vax","value","percent_surveyed","survey_type"
"1","2019-20","Indiana","Kindergarten",88253,"polio","90.4",65.7,"Voluntary response"
"2","2018-19","Indiana","Kindergarten",82324,"polio","91.3",96.4,"Census"
"3","2016-17","Indiana","Kindergarten",83263,"polio","89.5",80.3,"Voluntary response"
"4","2017-18","Indiana","Kindergarten",84296,"polio","92.7",96.4,"Voluntary Response"
"5","2015-16","Indiana","Kindergarten",83525,"polio","89.7",69.5,"Voluntary response"
"6","2014-15","Indiana","Kindergarten",85477,"polio","89.7",70.1,"Voluntary response"
"7","2013-14","Indiana","Kindergarten",87193,"polio","90.0",70.3,"Voluntary response"
"8","2012-13","Indiana","Kindergarten",86983,"polio","93.4",83.4,"Voluntary Response"
"9","2020-21","Indiana","Kindergarten",78694,"polio","89.9",71.4,"Voluntary response"
"10","2021-22","Indiana","Kindergarten",83198,"polio","89.3",75.1,"Vol. response"
"11","2015-16","Indiana","Kindergarten",83525,"dtap","92.6",69.5,"Voluntary response"
"12","2014-15","Indiana","Kindergarten",85477,"dtap","92.7",70.1,"Voluntary response"
"13","2016-17","Indiana","Kindergarten",83263,"dtap","92.1",80.3,"Voluntary response"
"14","2015-16","Indiana","Kindergarten",83525,"mmr","89.2",69.5,"Voluntary response"
"15","2014-15","Indiana","Kindergarten",85477,"mmr","89.3",70.1,"Voluntary response"
"16","2013-14","Indiana","Kindergarten",87193,"mmr","92.9",70.3,"Voluntary response"
"17","2012-13","Indiana","Kindergarten",86983,"mmr","95.4",83.4,"Voluntary Response"
"18","2011-12","Indiana","Kindergarten",83416,"mmr","93.3",67.5,"Voluntary Response"
"19","2010-11","Indiana","Kindergarten",NA,"mmr",NA,NA,NA
"20","2009-10","Indiana","Kindergarten",84390,"mmr","92.8",94.7,"Census"
"21","2009-10","Indiana","Kindergarten",84390,"dtap","91.1",94.7,"Census"
"22","2021-22","Indiana","Kindergarten",83198,"mmr","92.1",75.1,"Vol. response"
"23","2016-17","Indiana","Kindergarten",83263,"mmr","88.9",80.3,"Voluntary response"
"24","2019-20","Indiana","Kindergarten",88253,"mmr","94.4",65.7,"Voluntary response"
"25","2020-21","Indiana","Kindergarten",78694,"mmr","93.1",71.4,"Voluntary response"
"26","2017-18","Indiana","Kindergarten",84296,"mmr","90.4",96.4,"Voluntary Response"
"27","2018-19","Indiana","Kindergarten",82324,"mmr","91.2",96.4,"Census"
"28","2013-14","Indiana","Kindergarten",87193,"dtap","81.8",70.3,"Voluntary response"
"29","2012-13","Indiana","Kindergarten",86983,"dtap","90.1",83.4,"Voluntary Response"
"30","2011-12","Indiana","Kindergarten",83416,"dtap","90.2",67.5,"Voluntary Response"
"31","2010-11","Indiana","Kindergarten",NA,"dtap",NA,NA,NA
"32","2020-21","Indiana","Kindergarten",78694,"varicella","92.8",71.4,"Voluntary response"
"33","2021-22","Indiana","Kindergarten",83198,"varicella","91.7",75.1,"Vol. response"
"34","2022-23","Indiana","Kindergarten",81307,"hep_b","94.4",87.5,"Vol. response (pub.), census (pvt.)"
"35","2022-23","Indiana","Kindergarten",81307,"varicella","91.6",87.5,"Vol. response (pub.), census (pvt.)"
"36","2022-23","Indiana","Kindergarten",81307,"varicella","91.6",87.5,"Vol. response (pub.), census (pvt.)"
"37","2022-23","Indiana","Kindergarten",81307,"polio","88.8",87.5,"Vol. response (pub.), census (pvt.)"
"38","2022-23","Indiana","Kindergarten",81307,"dtap","83.0",87.5,"Vol. response (pub.), census (pvt.)"
"39","2022-23","Indiana","Kindergarten",81307,"varicella","NReq",87.5,"Vol. response (pub.), census (pvt.)"
"40","2022-23","Indiana","Kindergarten",81307,"mmr","92.0",87.5,"Vol. response (pub.), census (pvt.)"
"41","2023-24","Indiana","Kindergarten",80639,"mmr","90.8",88.5,"Census (pub.), vol. response (prv.)"
"42","2023-24","Indiana","Kindergarten",80639,"dtap","81.8",88.5,"Census (pub.), vol. response (prv.)"
"43","2023-24","Indiana","Kindergarten",80639,"varicella","NReq",88.5,"Census (pub.), vol. response (prv.)"
"44","2023-24","Indiana","Kindergarten",80639,"varicella","90.3",88.5,"Census (pub.), vol. response (prv.)"
"45","2023-24","Indiana","Kindergarten",80639,"hep_b","93.3",88.5,"Census (pub.), vol. response (prv.)"
"46","2023-24","Indiana","Kindergarten",80639,"polio","81.8",88.5,"Census (pub.), vol. response (prv.)"
"47","2023-24","Indiana","Kindergarten",80639,"varicella","90.3",88.5,"Census (pub.), vol. response (prv.)"
"48","2009-10","Indiana","Kindergarten",84390,"varicella","NReq",94.7,"Census"
"49","2021-22","Indiana","Kindergarten",83198,"varicella","NReq",75.1,"Vol. response"
"50","2015-16","Indiana","Kindergarten",83525,"varicella","88.0",69.5,"Voluntary response"
"51","2014-15","Indiana","Kindergarten",85477,"varicella","90.1",70.1,"Voluntary response"
"52","2013-14","Indiana","Kindergarten",87193,"varicella","90.2",70.3,"Voluntary response"
"53","2012-13","Indiana","Kindergarten",86983,"varicella","93.9",83.4,"Voluntary Response"
"54","2011-12","Indiana","Kindergarten",83416,"varicella","91.9",67.5,"Voluntary Response"
"55","2010-11","Indiana","Kindergarten",NA,"varicella",NA,NA,NA
"56","2012-13","Indiana","Kindergarten",86983,"varicella",NA,83.4,"Voluntary Response"
"57","2014-15","Indiana","Kindergarten",85477,"varicella",NA,70.1,"Voluntary response"
"58","2013-14","Indiana","Kindergarten",87193,"varicella",NA,70.3,"Voluntary response"
"59","2019-20","Indiana","Kindergarten",88253,"varicella","NReq",65.7,"Voluntary response"
"60","2020-21","Indiana","Kindergarten",78694,"varicella","NReq",71.4,"Voluntary response"
"61","2015-16","Indiana","Kindergarten",83525,"varicella",NA,69.5,"Voluntary response"
"62","2017-18","Indiana","Kindergarten",84296,"dtap","94.3",96.4,"Voluntary Response"
"63","2019-20","Indiana","Kindergarten",88253,"dtap","84.0",65.7,"Voluntary response"
"64","2018-19","Indiana","Kindergarten",82324,"dtap","94.4",96.4,"Census"
"65","2021-22","Indiana","Kindergarten",83198,"dtap","84.0",75.1,"Vol. response"
"66","2020-21","Indiana","Kindergarten",78694,"dtap","83.9",71.4,"Voluntary response"
"67","2011-12","Indiana","Kindergarten",83416,"polio","90.4",67.5,"Voluntary Response"
"68","2010-11","Indiana","Kindergarten",NA,"polio",NA,NA,NA
"69","2009-10","Indiana","Kindergarten",84390,"polio","92.9",94.7,"Census"
"70","2021-22","Indiana","Kindergarten",83198,"hep_b","94.9",75.1,"Vol. response"
"71","2020-21","Indiana","Kindergarten",78694,"hep_b","95.3",71.4,"Voluntary response"
"72","2018-19","Indiana","Kindergarten",82324,"hep_b","92.4",96.4,"Census"
"73","2019-20","Indiana","Kindergarten",88253,"hep_b","96.0",65.7,"Voluntary response"
"74","2011-12","Indiana","Kindergarten",83416,"varicella",NA,67.5,"Voluntary Response"
